,codimap_category,codimap_title,codimap_date,views,comment_numbers
0,캐주얼,톤온톤 코디,21.07.02,"17,219",50
1,캐주얼,블랙 매니아,21.02.23,"36,283",47
2,캐주얼,오늘의 코디,22.03.22,"13,371",43
3,댄디,추천 댄디 룩,21.09.15,"21,571",32
4,캐주얼,릴랙스 룩,21.02.23,"24,008",25
5,스트릿,힙하다 힙해,21.02.03,"36,056",24
6,댄디,데이트 코디,21.12.24,"10,951",19
7,캐주얼,심플한 코디,21.07.30,"41,334",18
8,댄디,훈훈 남친 룩,21.03.24,"19,979",17
9,댄디,서머 데이트 룩,21.07.26,"8,350",17
10,댄디,남친 룩으로 제격,21.12.24,"10,169",17
11,캐주얼,지금 입기 좋아,21.08.31,"20,874",16
12,캐주얼,꾸안꾸 코디,22.11.04,"5,188",15
13,아메카지,아메리칸 캐주얼,21.12.21,"5,828",14
14,비즈니스캐주얼,깔끔하게 즐겨,21.11.09,"6,598",13
15,아메카지,남다른 감각,21.11.17,"5,066",11
16,캐주얼,편안함의 완성,21.10.04,"20,063",11
17,캐주얼,편하게 완성,21.07.21,"15,325",10
18,캐주얼,원 마일 웨어,21.10.08,"17,059",10
19,비즈니스캐주얼,매력적인 포멀 룩,21.09.17,"11,713",10
20,캐주얼,레이어드의 매력,21.06.04,"12,771",9
21,댄디,레이어드의 매력,21.11.23,"10,533",8
22,캐주얼,잘 고른 재킷,20.10.28,"20,846",8
23,캐주얼,발랄함 가득!,21.07.05,"3,227",8
24,비즈니스캐주얼,깔끔한 매력,21.03.08,"13,997",8
25,댄디,남친 룩의 정석,20.11.04,"16,643",8
26,시크,시크한 감각,21.08.20,"3,899",8
27,캐주얼,서머 캠퍼스 룩,22.07.19,"3,340",8
28,비즈니스캐주얼,손색 없는 단정함,21.11.12,"3,378",8
29,댄디,훈훈한 스타일,21.12.29,"3,680",7
30,캐주얼,러블리 캐주얼,20.11.18,"10,817",7
31,캐주얼,오늘의 무드,21.12.06,"7,055",7
32,비즈니스캐주얼,단정한 모습,21.11.26,"5,877",7
33,아메카지,색감에 반해,22.11.02,"7,501",7
34,아메카지,센스 있는 아메카지,22.10.26,"8,421",7
35,캐주얼,캠퍼스 룩,21.07.12,"7,454",7
36,캐주얼,캐주얼 룩의 정석,20.11.06,"16,418",7
37,아메카지,아메카지의 정석,22.11.21,"9,128",6
38,댄디,레더 스타일링,21.09.28,"8,264",6
39,비즈니스캐주얼,클래식한 실루엣,21.01.15,"4,395",6
40,캐주얼,귀여운 프레피 룩,21.06.04,"12,359",6
41,댄디,데이트하는 날,21.09.07,"17,880",6
42,스트릿,따라 입고 싶어,21.08.30,"2,267",6
43,캐주얼,남친 룩 추천,21.06.11,"11,035",6
44,캐주얼,피크닉 가자!,21.08.20,"2,815",6
45,아메카지,실패 없는 코디,21.06.11,"8,419",6
46,아메카지,아메카지 무드,22.11.10,"6,503",6
47,아메카지,아메카지 무드,22.06.17,"4,885",6
48,비즈니스캐주얼,깔끔한 연출,21.11.10,"3,714",6
49,비즈니스캐주얼,완벽한 스타일링,21.09.15,"4,218",6
50,로맨틱,레트로 스타일링,21.05.17,"2,333",6
51,비즈니스캐주얼,데이트 룩 완성!,21.02.08,"10,896",5
52,캐주얼,가볍게 툭!,21.05.31,"3,498",5
53,캐주얼,레트로 무드,21.03.12,"11,754",5
54,캐주얼,활동하기 최고,21.09.23,"6,525",5
55,캐주얼,그린 포인트!,21.05.28,"5,515",5
56,스트릿,스트라이프 활용법,21.02.19,"2,877",5
57,캐주얼,캐주얼 룩의 정석,21.03.12,"11,196",5
58,캐주얼,멋 내는 방법,21.07.02,"5,987",5
59,캐주얼,편하게 멋 내봐,21.09.08,"11,738",5
