index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month
0,F,Y,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-19031,365243,1,0,0,0,,2,-53
1,F,N,N,1,157500,Working,Higher education,Married,House / apartment,-15773,-309,1,0,1,0,Sales staff,3,-26
2,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-13483,-1816,1,1,1,0,Laborers,2,-9
3,F,Y,N,2,112500,Working,Secondary / secondary special,Married,House / apartment,-12270,-150,1,0,1,0,Security staff,4,-12
4,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,1,0,0,0,Drivers,3,-3
5,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,1,0,1,Drivers,3,-56
6,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,365243,1,0,1,0,,2,-10
7,M,Y,Y,1,270000,Pensioner,Secondary / secondary special,Married,House / apartment,-18948,365243,1,0,0,0,,3,-52
8,F,Y,N,0,180000,Commercial associate,Higher education,Married,House / apartment,-11229,-3472,1,1,1,0,Core staff,2,-38
9,F,N,Y,0,144000,Working,Secondary / secondary special,Married,House / apartment,-18705,-5345,1,0,0,0,Medicine staff,2,-35
10,F,N,Y,2,99000,Working,Secondary / secondary special,Married,House / apartment,-12017,-1083,1,1,1,0,Sales staff,4,-52
11,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,1,0,Managers,2,-3
12,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22361,365243,1,0,0,0,,2,-30
13,M,N,N,0,157500,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9849,-219,1,0,1,0,,1,-50
14,F,Y,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,-20460,365243,1,0,0,0,,2,-20
15,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,1,0,0,0,Drivers,4,-51
16,F,N,N,1,180000,Working,Secondary / secondary special,Married,With parents,-10774,-2592,1,0,0,0,,3,-41
17,F,N,Y,2,157500,Working,Secondary / secondary special,Separated,House / apartment,-13716,-1325,1,0,0,0,Laborers,3,-31
18,F,N,Y,0,180000,Working,Higher education,Married,House / apartment,-15201,-1845,1,1,1,0,Core staff,2,-11
19,M,Y,Y,0,351000,Pensioner,Secondary / secondary special,Married,House / apartment,-22329,365243,1,0,0,0,,2,-26
20,F,Y,Y,1,225000,Commercial associate,Higher education,Separated,House / apartment,-15671,-232,1,0,0,1,Laborers,2,-11
21,M,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,1,0,0,0,,4,-45
22,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-12078,-673,1,1,1,0,Laborers,2,-28
23,F,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-13633,-1692,1,0,1,0,Core staff,4,-45
24,F,N,Y,0,193500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15447,-1721,1,0,0,0,Sales staff,2,-15
25,F,N,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-16188,-309,1,1,1,1,Sales staff,2,-31
26,M,N,Y,2,225000,State servant,Higher education,Married,House / apartment,-12839,-4584,1,0,0,0,,4,-29
27,M,Y,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,-17887,-567,1,1,0,0,Drivers,2,-29
28,F,Y,Y,0,180000,Pensioner,Secondary / secondary special,Separated,House / apartment,-21485,365243,1,0,0,0,,1,-8
29,F,N,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-19032,-429,1,0,1,0,Laborers,2,-55
30,F,Y,Y,0,382500,Commercial associate,Higher education,Married,House / apartment,-20054,-6427,1,0,1,0,Managers,2,-19
31,F,N,N,0,49500,Pensioner,Secondary / secondary special,Widow,House / apartment,-23871,365243,1,0,0,0,,1,-45
32,F,N,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,-15051,-614,1,1,0,0,Laborers,2,-8
